CC Nombre,CC,DM,Fecha de Apertura,Rolling,TPLH,IPLH,Labor,Dif Labor%,Ventas,Dif ppto%,OMT #,NPS,Conexión,Bebida,CTC,Costo,Dif costo%,EBITDA,Dif EBITDA %,DT Time,Tiempo DT AA,Municipio o Delegación,Cobertura,Formato,Formato - Comercial,TIER,Corte YTD,Latitud,Longitud
Coacalco,38401,Enrique César,16/12/2010,32.70%,5.7,14.9,16.20%,1.30%,$4.4M,-8.80%,-18.5,89.9,69.70%,75.00%,14.60%,36.70%,-0.80%,16.40%,-3.70%,No hay valores,No hay valores,Coacalco De Berriozábal,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.62872675,-99.12410376
Cosmopol,38604,Enrique César,10/09/2015,23.70%,5.8,15.2,14.50%,1.70%,$8.1M,-16.90%,-55.8,81.4,64.00%,65.00%,8.60%,36.30%,-0.20%,22.40%,-4.70%,No hay valores,No hay valores,Coacalco De Berriozábal,Estado De México,Kiosko ,Mall,C1,30/04/2026,19.63205575,-99.1257806
Cosmopol N1,43193,Enrique César,16/12/2025,0.00%,5.8,13.5,17.70%,-4.30%,$3.5M,1.20%,185.7,84.1,76.40%,73.00%,6.00%,37.80%,4.90%,12.60%,-14.90%,No hay valores,No hay valores,Coacalco De Berriozábal,Estado De México,Kiosko ,Mall,C1,30/04/2026,19.63207203,-99.12441873
Izcalli Mega,38333,Enrique César,28/08/2008,21.70%,6.8,17.4,13.50%,-0.10%,$9.4M,-8.50%,-37.2,62.6,46.40%,60.00%,11.10%,34.90%,-0.90%,25.30%,-0.30%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.64697761,-99.2071519
Luna Park,38368,Enrique César,28/11/2009,32.90%,6.7,16.1,14.30%,1.40%,$8.3M,-10.20%,1.7,68.5,47.40%,62.00%,7.40%,34.70%,-0.70%,27.20%,-2.10%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Kiosko ,Mall,C2,30/04/2026,19.65740984,-99.21026354
Patio Ecatepec,38515,Enrique César,27/09/2013,34.30%,6,16.1,15.00%,-1.60%,$7.2M,3.40%,2.5,74.2,56.80%,59.00%,12.40%,37.40%,-1.40%,20.30%,2.60%,No hay valores,No hay valores,Ecatepec De Morelos,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.60630467,-99.04596739
Plaza las Flores,38456,Enrique César,21/06/2012,33.20%,6,15.8,14.60%,-1.40%,$6.3M,2.40%,-27.1,75.2,57.70%,73.00%,17.10%,35.10%,-0.20%,26.00%,2.80%,No hay valores,No hay valores,Coacalco De Berriozábal,Estado De México,Kiosko ,Hypermarket,C2,30/04/2026,19.63640228,-99.09608839
San Marcos,38339,Enrique César,27/09/2008,29.60%,5.9,15.2,13.70%,1.00%,$8.3M,-8.30%,-25.1,71.2,53.60%,66.00%,11.90%,35.30%,0.90%,25.40%,-1.30%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.67090726,-99.20315596
San Miguel Izcalli,38862,Enrique César,06/03/2019,31.40%,7.3,18.5,13.70%,0.70%,$8.2M,-7.60%,-28.9,69.8,47.40%,65.00%,12.70%,36.30%,0.40%,24.30%,-2.70%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.68836685,-99.21400636
Arboledas,38186,Nancy Rodríguez,17/05/2006,66.30%,5.9,14.2,15.90%,-1.10%,$5.3M,-8.30%,-13.3,82.8,59.90%,72.00%,10.80%,36.20%,-0.20%,16.40%,2.00%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Neighborhood,C1,30/04/2026,19.55995694,-99.22014176
Galerias Perinorte,38894,Nancy Rodríguez,17/12/2020,19.10%,6.4,16.5,15.00%,1.20%,$7.1M,-10.40%,-11.4,74.5,46.70%,61.00%,7.30%,36.60%,0.40%,21.30%,-1.80%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Cafe,Mall,C1,30/04/2026,19.60223727,-99.1909696
